PIN,Address
25-19-316-031-0000,11839-41 S. Western Ave. & 2320-22 W. 119th St.
25-17-103-018-0000,1339-53 W. 103rd Rd.
25-17-103-017-0000,1339-53 W. 103rd Rd.
25-17-103-015-0000,1339-53 W. 103rd Rd.
25-17-103-014-0000,1339-53 W. 103rd Rd.
25-17-103-004-0000,1339-53 W. 103rd Rd.
25-12-300-011-0000,103rd & Stony Island
25-09-206-053-8001,9540 S. Lafayette Ave.
25-08-100-003-0000,95th & Ashland
25-03-426-021-0000,S. Cottage Grove Ave. & S. Burnside Ave.
25-03-321-043-0000,9409 South State Street
25-03-321-042-0000,9401-07 South State Street
25-03-321-038-0000,12-24 East 95th Street
25-03-321-037-0000,12-24 East 95th Street
25-03-321-036-0000,12-24 East 95th Street
25-03-321-035-0000,12-24 East 95th Street
25-03-321-034-0000,12-24 East 95th Street
25-03-321-014-0000,9443 South State Street
25-03-321-013-0000,9439 South State Street
25-03-321-012-0000,9435 South State Street
25-03-321-005-0000,9411-13 South State Street
25-03-321-004-0000,9411-13 South State Street
25-03-321-002-0000,9401-07 South State Street
25-03-321-001-0000,9401-07 South State Street
24-14-100-069-0000,"104th/Pulaski; 10351-53 S. Pulaski Rd., 60655"
21-30-416-017-0000,79th St. & Coles Ave.
20-33-500-001-0000,S. Wentworth bet. West 79th St. & west 85th St.
20-33-122-001-0000,Halsted & 82nd St.
20-33-115-001-0000,Vincennes Ave. & 80th St.
20-33-114-001-0000,Vincennes Ave. & 80th St.
20-33-100-032-0000,Halsted St. & Emerald Ave. south of 79th St.
20-33-100-027-0000,Halsted St. & Emerald Ave. south of 79th St.
20-33-100-026-0000,Halsted St. & Emerald Ave. south of 79th St.
20-33-100-018-0000,Halsted St. & Emerald Ave. south of 79th St.
20-32-424-044-0000,8629-41 S. Racine Ave; S. Racine Ave. north of W. 87th St.
20-31-321-023-0000,8638-52 S. Damen Ave.
20-31-321-022-0000,8638-52 S. Damen Ave.
20-31-321-021-0000,8638-52 S. Damen Ave.
20-30-312-034-0000,S. Western Ave. north of W. 79th St.
20-30-312-030-0000,S. Western Ave. north of W. 79th St.
20-30-312-029-0000,S. Western Ave. north of W. 79th St.
20-30-312-028-0000,S. Western Ave. north of W. 79th St.
20-30-312-027-0000,S. Western Ave. north of W. 79th St.
20-30-224-029-0000,
20-30-224-026-0000,
20-30-224-025-0000,
20-30-224-024-0000,
20-30-224-021-0000,
20-30-224-019-0000,
20-30-224-004-0000,
20-30-122-054-0000,"W. 74th St. & S. Damen Ave., 7352-68 S. Damen Ave."
20-28-416-008-0000,77th - 79th & S. Vincennes Ave.
20-28-416-003-0000,77th & S. Vincennes Ave.
20-28-416-002-0000,77th & S. Vincennes Ave.
20-28-416-001-0000,77th & S. Vincennes Ave.
20-22-200-033-0000,6312-14 S. Vernon & 6313 S. South Park South Park Ave. south of 63rd St.
20-22-200-018-0000,6312-14 S. Vernon & 6313 S. South Park South Park Ave. south of 63rd St.
20-22-200-017-0000,6312-14 S. Vernon & 6313 S. South Park South Park Ave. south of 63rd St.
20-22-108-051-0000,301-33 E. 63rd St.
20-22-108-027-0000,"South of E. 63rd St., bet. Prairie & Calumet Avenues"
20-22-108-025-0000,"South of E. 63rd St., bet. Prairie & Calumet Avenues"
20-22-108-009-0000,"South of E. 63rd St., bet. Prairie & Calumet Avenues"
20-21-500-056-8001,ROW  Union Ave. to Halsted north of 63rd Pl. (east side of Halsted) 63rd/Halsted
20-21-500-052-0000,"ROW Stewart Ave. to Eggleston Ave., south of 63rd St."
20-21-500-051-0000,Bet. 64th St. & 65th St.
20-21-500-050-0000,"ROW Parnell Ave. to C.W. Ind. RR tracks, south of 63rd St."
20-21-500-049-0000,"ROW Eggleston Ave. to Normal Ave., south of 63rd St."
20-21-500-048-0000,ROW W. 63rd St. and Harvard Ave.
20-21-500-047-0000,ROW W. 63rd St. and Harvard Ave.
20-21-500-046-0000,"ROW Harvard Ave. to Stewart Ave., south of 63rd St."
20-21-500-045-0000,"ROW Harvard Ave. to Stewart Ave., south of 63rd St."
20-21-500-044-0000,"ROW Harvard Ave. to Stewart Ave., south of 63rd St."
20-21-500-043-0000,Bet. Normal to Parnell Ave.
20-21-500-039-0000,West side of Stewart south of 63rd
20-21-500-038-0000,Bet. Normal to Parnell Ave.
20-21-500-036-0000,West side of Stewart south of 63rd
20-21-500-025-0000,Bet. 66th St. & 66th Pl.
20-21-500-022-0000,Bet. 65th St. & 66th St.
20-21-500-021-0000,Bet. 65th St. & 66th St.
20-21-500-020-0000,Bet. 65th St. & 66th St.
20-21-500-018-0000,Bet. 64th St. & 65th St.
20-21-500-014-0000,"ROW Stewart Ave. to Eggleston Ave., south of 63rd St."
20-21-500-012-0000,"ROW Eggleston Ave. to Normal Ave., south of 63rd St."
20-21-500-011-0000,"ROW Eggleston Ave. to Normal Ave., south of 63rd St."
20-21-500-010-0000,"ROW Normal Ave. to Parnell Ave., south of 63rd St."
20-21-500-009-0000,"ROW Normal Ave. to Parnell Ave., south of 63rd St."
20-21-500-007-0000,"ROW C. & W. Ind. RR tracks to Lowe Ave., south of 63rd St."
20-21-500-006-0000,"ROW C. & W. Ind. RR tracks to Lowe Ave., south of 63rd St."
20-21-500-004-0000,ROW Union Ave to Halsted St. north of 63rd Pl.
20-21-500-003-0000,ROW Union Ave to Halsted St. north of 63rd Pl.
20-21-500-002-0000,ROW Union Ave to Halsted St. north of 63rd Pl.
20-21-310-045-0000,Bet. 68th St. & 69th St.
20-21-310-043-0000,Bet. 68th St. & 69th St.
20-21-310-039-0000,Bet. 68th St. & 69th St.
20-21-310-037-0000,Bet. 68th St. & 69th St.
20-21-304-045-0000,Bet. 64th St. & 65th St.
20-21-304-043-0000,Bet. 64th St. & 65th St.
20-21-304-040-0000,Bet. 64th St. & 65th St.
20-21-114-040-0000,Rear of lots 5-6 bet. W. 64th St. & 65th St.
20-21-102-025-0000,East side of Union Ave.
20-21-102-024-0000,West side of Lowe Ave.
20-20-500-025-8001,west side of Green St. to public alley
20-20-500-023-0000,"ROW east side Green St. to alley, south of 63rd St."
20-20-500-020-0000,6320 S. Sangamon
20-20-500-019-0000,6319 S. Sangamon
20-20-500-018-0000,ROW Sangamon St. to Morgan St. south of 63rd St.
20-20-500-017-0000,ROW Sangamon St. to Morgan St. south of 63rd St.
20-20-500-016-0000,ROW Morgan St. to Carpenter St. south of 63rd St.
20-20-500-015-0000,ROW Morgan St. to Carpenter St. south of 63rd St.
20-20-500-014-0000,ROW Carpenter St. to Aberdeen south of 63rd St.
20-20-500-013-0000,ROW Carpenter St. to Aberdeen south of 63rd St.
20-20-500-012-0000,ROW Aberdeen St. to May St. south of 63rd St.
20-20-500-011-0000,ROW Aberdeen St. to May St. south of 63rd St.
20-20-500-010-0000,ROW May St. to Racine Ave. south of 63rd St.
20-20-500-009-0000,ROW May St. to Racine Ave. south of 63rd St.
20-20-500-008-0000,ROW Racine Ae. To Elizabeth South of 63rd St.
20-20-500-007-0000,"ROW Elizabeth St. to Throop St., south of 63rd St."
